PairID;BrAttempt;EggDate;HatchDate;EggLossDate;ChickLossDate ;FledgeDate;BreedSucc
Farallon-3-2022-5;1;2022-05-16;2022-06-18;;;2022-07-08;1
Farallon-3-2022-6;1;2022-05-19;2022-06-21;;2022-06-25;;0
Farallon-3-2022-7;1;2022-05-23;;2022-05-25;;;0
Farallon-4-2022-1;1;2022-05-17;;2022-06-01;;;0
Farallon-4-2022-2;1;2022-05-18;2022-06-19;;;2022-07-12;1
Farallon-4-2022-3;1;2022-05-18;2022-06-21;;;2022-07-12;1
Farallon-4-2022-4;1;2022-06-10;2022-07-12;;2022-07-13;;0
Farallon-5-2022-1;1;2022-05-13;2022-06-15;;;2022-07-06;1
Farallon-5-2022-2;1;2022-05-20;2022-06-22;;;2022-07-12;1
Farallon-5-2022-3;1;2022-05-20;2022-06-21;;;2022-07-13;1
Farallon-6-2022-1;1;2022-05-17;2022-06-20;;;2022-07-12;1
Farallon-6-2022-2;1;2022-05-18;2022-06-19;;;2022-07-09;1
Farallon-6-2022-3;1;2022-05-20;2022-06-23;;2022-06-26;;0
Rost-2-2022-1;1;2022-05-13;2022-06-14;;;2022-07-11;1
Rost-2-2022-2;1;2022-05-17;2022-06-19;;;2022-07-11;1
Rost-2-2022-4;1;2022-05-29;2022-07-02;;2022-07-17;;0
Rost-3-2022-1;1;2022-05-11;2022-06-13;;;2022-07-03;1
Rost-3-2022-2;1;2022-05-14;2022-06-13;;;2022-07-07;1
Rost-3-2022-3;1;2022-05-18;;2022-05-19;;;0
Rost-3-2022-3;2;2022-06-04;2022-07-06;;2022-07-15;;0
Rost-3-2022-4;1;2022-05-19;2022-06-20;;;2022-07-09;1
Rost-3-2022-5;1;2022-05-19;;2022-06-23;;;0
Rost-4-2022-1;1;2022-05-15;2022-06-16;;;2022-07-08;1
Rost-5-2022-1;1;2022-05-10;2022-06-13;;;2022-07-03;1
Rost-5-2022-2;1;2022-05-17;2022-06-18;;;2022-07-08;1
Rost-5-2022-3;1;2022-05-22;2022-06-25;;;2022-07-15;1
Rost-5-2022-4;1;2022-05-25;2022-06-26;;;2022-07-17;1
Rost-6-2022-1;1;2022-05-21;2022-06-23;;;2022-07-15;1
Rost-6-2022-2;1;2022-05-25;2022-06-28;;;2022-07-18;1
Rost-6-2022-3;1;2022-05-25;2022-06-26;;;2022-07-17;1
Triangle-1-2022-1;1;2022-05-18;2022-06-19;;;2022-07-08;1
Triangle-1-2022-2;1;2022-05-18;;2022-05-21;;;0
Triangle-1-2022-3;1;2022-05-19;2022-06-19;;;2022-07-12;1
Triangle-1-2022-4;1;2022-05-22;2022-06-22;;;2022-07-12;1
Triangle-1-2022-5;1;2022-05-22;;2022-05-27;;;0
Triangle-2-2022-1;1;2022-05-14;;2022-05-15;;;0
Triangle-2-2022-2;1;2022-05-14;2022-06-16;;;2022-07-06;1
Triangle-2-2022-3;1;2022-05-16;;2022-05-18;;;0
Triangle-2-2022-3;2;2022-06-01;2022-07-04;;2022-07-19;;0
Triangle-2-2022-4;1;2022-05-17;2022-06-18;;;2022-07-06;1
Triangle-2-2022-5;1;2022-05-19;2022-06-21;;;2022-07-09;1
Triangle-2-2022-6;1;2022-05-22;2022-06-23;;;2022-07-12;1
Triangle-3-2022-1;1;2022-05-14;2022-06-16;;;2022-07-07;1
Triangle-3-2022-2;1;2022-05-22;2022-06-24;;2022-06-25;;0
Triangle-3-2022-3;1;2022-05-26;;2022-06-07;;;0
Triangle-3-2022-4;1;2022-05-28;;2022-06-01;;;0
Triangle-5-2022-1;1;2022-05-22;;2022-06-25;;;0
Triangle-5-2022-2;1;2022-05-29;;2022-06-26;;;0
Triangle-1-2022-5;2;2022-06-14;;2022-06-20;;;0
Triangle-1-2022-2;2;2022-06-15;;2022-07-05;;;0
Farallon-1-2022-1;2;2022-06-15;;2022-07-17;;;0
